anomaly_rate,model,alert_rate_mean,alert_rate_sd,alert_rate_ci_lo,alert_rate_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,auc_roc_mean,auc_roc_sd,auc_roc_ci_lo,auc_roc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,fnr_mean,fnr_sd,fnr_ci_lo,fnr_ci_hi,fpr_mean,fpr_sd,fpr_ci_lo,fpr_ci_hi,precision_mean,precision_sd,precision_ci_lo,precision_ci_hi,recall_mean,recall_sd,recall_ci_lo,recall_ci_hi,recall_delay_mean,recall_delay_sd,recall_delay_ci_lo,recall_delay_ci_hi,recall_repeat_mean,recall_repeat_sd,recall_repeat_ci_lo,recall_repeat_ci_hi,recall_timestamp_mean,recall_timestamp_sd,recall_timestamp_ci_lo,recall_timestamp_ci_hi,recall_volume_mean,recall_volume_sd,recall_volume_ci_lo,recall_volume_ci_hi
0.05,IF,0.7347144132476722,0.24814183181855892,0.5572044401960549,0.9122243862992895,0.21760757913938464,0.0830642077703019,0.15818702447191701,0.27702813380685226,0.49035832601664,0.08713859255420608,0.4280231320564247,0.5526935199768552,0.2553187120618342,0.053132756888495246,0.21730982748838873,0.2933275966352797,0.25709493961653657,0.25535626697141794,0.07442407055564401,0.4397658086774291,0.7335665521154782,0.24953352040012103,0.5550610250260799,0.9120720792048764,0.15756861883352002,0.026600620742996302,0.13853968108191111,0.17659755658512893,0.7429050603834634,0.25535626697141794,0.5602341913225708,0.925575929444356,1.0,0.0,1.0,1.0,0.7712121212121212,0.2454774067584514,0.5956081630276931,0.9468160793965493,0.6875,0.45806269065645216,0.3045500071932076,1.0704499928067923,0.7062825246835545,0.315289024347304,0.4807383437399575,0.9318267056271514
0.05,OCSVM,0.7768103522662575,0.22777011096578292,0.6138734304131801,0.9397472741193349,0.2640011351313023,0.0892804913448518,0.2001337190793084,0.32786855118329616,0.5441623113891485,0.07423259986458623,0.4910595084278597,0.5972651143504373,0.28745475943970267,0.042116055082943395,0.2573267485838782,0.3175827702955271,0.15511860738447425,0.16310698996774672,0.03843889569895871,0.2717983190699898,0.7639580519084942,0.24130709589088814,0.591337354403222,0.9365787494137664,0.17788072652024917,0.041536755867581446,0.14816712135875726,0.20759433168174107,0.8448813926155256,0.16310698996774672,0.7282016809300101,0.9615611043010411,1.0,0.0,1.0,1.0,0.8575757575757577,0.17997806212604997,0.7288272079106705,0.9863243072408449,0.9375,0.1767766952966369,0.7897109842754511,1.085289015724549,0.8075742641861062,0.19949122276680706,0.6648668402993385,0.9502816880728739
0.05,RF,0.15857169186046022,0.035823147699393924,0.13294535576009164,0.1841980279608288,0.745603636517443,0.09128935646745183,0.6802991649268335,0.8109081081080525,0.9046294048850394,0.03704269759270918,0.878130655346312,0.9311281544237668,0.730235752143326,0.07015878586664241,0.6800471801591064,0.7804243241275457,0.26473190564228466,0.09106390997420044,0.19958870875754947,0.32987510252701985,0.051659219922042976,0.030785249933946792,0.029636778779761192,0.07368166106432476,0.7400811199354561,0.1229147593445414,0.6521531979926162,0.828009041878296,0.7352680943577155,0.09106390997420044,0.6701248974729803,0.8004112912424506,0.680952380952381,0.3841138657080425,0.4061738744390443,0.9557308874657177,0.3392676767676767,0.1981568461684674,0.19751480839569693,0.48102054513965653,0.0,0.0,0.0,0.0,0.926945095966835,0.06726540342873587,0.8788263250911861,0.975063866842484
0.05,Rule60s,0.06633791405922565,0.017801038562861367,0.053603818189832654,0.07907200992861864,,,,,,,,,0.16038898652979755,0.09891800828143336,0.08962730618081079,0.23115066687878433,0.8802397688185539,0.08664423943704096,0.8182582137746909,0.942221323862417,0.057742767749608216,0.015589966527909048,0.04659037753001698,0.06889515796919946,0.2564768910850147,0.11042527920176315,0.17748340501429463,0.3354703771557348,0.1197602311814461,0.08664423943704094,0.05777867613758305,0.18174178622530915,1.0,0.0,1.0,1.0,0.075,0.11715798953990098,-0.008809776907007058,0.15880977690700704,0.125,0.3535533905932738,-0.170578031449098,0.420578031449098,0.017094017094017096,0.03869822708605734,-0.010589026900815049,0.04477706108884924
0.1,IF,0.9061026426879796,0.08883015574693393,0.8425573773159607,0.9696479080599985,0.32302468748598,0.04361749274333084,0.29182261283091293,0.3542267621410471,0.48950676593950593,0.06450652344300574,0.4433615789143932,0.5356519529646186,0.415313899378023,0.029044857256369093,0.3945364601567472,0.4360913385992988,0.09389402367372156,0.09214549759710827,0.02797710561352687,0.15981094173391625,0.906263433452742,0.0934615086884928,0.8394050977699914,0.9731217691354925,0.26969837372319877,0.01782222405254608,0.25694912266745346,0.2824476247789441,0.9061059763262784,0.09214549759710827,0.8401890582660837,0.9720228943864732,1.0,0.0,1.0,1.0,0.9213792335115863,0.12535554218920136,0.8317052807048442,1.0110531863183285,0.9629629629629629,0.11111111111111112,0.8775554023998456,1.04837052352608,0.8861102064148699,0.10640588266246334,0.8099920234163726,0.9622283894133673
0.1,OCSVM,0.8277876308949497,0.23034358430032903,0.6630097571196734,0.992565504670226,0.3602447022033669,0.05101929240464506,0.3237476990439674,0.39674170536276643,0.5155729552308025,0.05217581046475303,0.47824862889022496,0.5528972815713801,0.40829362417716497,0.025337808223638868,0.3901680480822246,0.42641920027210534,0.16081695623112577,0.20504078883205012,0.014139611934445961,0.3074943005278056,0.8235464315238357,0.23994133256806313,0.6519027422434678,0.9951901208042035,0.27743922366819634,0.021891205534538417,0.26177919860904103,0.29309924872735166,0.8391830437688743,0.20504078883205012,0.6925056994721945,0.9858603880655541,1.0,0.0,1.0,1.0,0.7867821394291983,0.300795180923781,0.571606229472676,1.0019580493857205,0.7796296296296297,0.334765442115174,0.5223061316826156,1.0369531275766437,0.8304772024827806,0.2159339149306029,0.6760073852038918,0.9849470197616693
0.1,RF,0.27679077736394636,0.0443928790925122,0.24503402472919703,0.3085475299986957,0.8044992311516357,0.0504020728676765,0.7684437602505066,0.8405547020527647,0.8896875367213607,0.03312683415557088,0.8659900271352282,0.9133850463074932,0.7624330280958816,0.05166100610417029,0.7254769706098708,0.7993890855818925,0.22661372177577482,0.08851115213384433,0.16329665784140915,0.2899307857101405,0.09278038027004684,0.03215263524096424,0.0697797706052673,0.11578098993482638,0.7590324984441895,0.0607009063304,0.7156096859020594,0.8024553109863196,0.7733862782242251,0.08851115213384433,0.7100692142898595,0.8367033421585908,0.975,0.07905694150420949,0.9184460709300448,1.0315539290699551,0.2844534876887818,0.17328345519793512,0.16049397132248067,0.40841300405508296,0.027777777777777776,0.08333333333333333,-0.03627789264456016,0.09183344820011571,0.9365695579415023,0.04420980822870037,0.9049437663134627,0.9681953495695419
0.1,Rule60s,0.0745804985156315,0.01667251615563561,0.0626536989437901,0.08650729808747291,,,,,,,,,0.19285672253184133,0.07218472771653918,0.141218879054203,0.24449456600947966,0.8755753288180335,0.051404600042560804,0.8388026931789276,0.9123479644571393,0.056056764949021766,0.015588629413728851,0.0449053312432934,0.06720819865475014,0.4462761919197845,0.1505207485482043,0.3386001349539527,0.5539522488856163,0.12442467118196647,0.0514046000425608,0.08765203554286069,0.16119730682107225,1.0,0.0,1.0,1.0,0.07108516483516483,0.09966301218674334,-0.00020945920246051575,0.14237978887279018,0.05925925925925926,0.12222222222222222,-0.03468905736016971,0.15320757587868822,0.04097234394307063,0.05885854212459263,-0.0011325206411219868,0.08307720852726325
0.2,IF,0.9837079703931936,0.007676751295619213,0.9782163533384531,0.989199587447934,0.506632678174914,0.036095757916814866,0.48081132847287517,0.5324540278769527,0.526804998334357,0.037645263304722246,0.4998751992522399,0.5537347974164741,0.6078572391921483,0.02254279972660004,0.5917310917278114,0.6239833866564852,0.01822530965997181,0.011294934527662576,0.010145400243121877,0.02630521907682174,0.9851309056481347,0.00861388969665342,0.9789689001663641,0.9912929111299053,0.44051814699208675,0.022877561759057776,0.42415252519597435,0.45688376878819914,0.9817746903400282,0.011294934527662571,0.9736947809231783,0.9898545997568781,1.0,0.0,1.0,1.0,0.9871419806903677,0.016766637340555,0.9751478508788961,0.9991361105018394,1.0,0.0,1.0,1.0,0.9779861995108794,0.01310909335038467,0.9686085190516676,0.9873638799700912
0.2,OCSVM,0.9634276963949864,0.03583990422881083,0.9377893733955793,0.9890660193943934,0.5312597248776579,0.04104774718970789,0.5018959354509624,0.5606235143043534,0.5378749320683542,0.05092204900317324,0.5014474926477577,0.5743023714889508,0.6057662640408953,0.015684385170933023,0.5945463307929645,0.6169861972888261,0.03460426727829539,0.03874832716955638,0.006885383842742496,0.06232315071384828,0.9621018240234932,0.0343698481138388,0.9375151158180958,0.9866885322288906,0.4421392084490726,0.020509863166081905,0.42746733619270255,0.4568110807054427,0.9653957327217049,0.038748327169556375,0.937676849286152,0.9931146161572577,1.0,0.0,1.0,1.0,0.9732043010752689,0.05257684090290516,0.9355930948412547,1.010815507309283,0.9357142857142857,0.10753895038701157,0.8587855548941004,1.012643016534471,0.9618571844117945,0.039364425131261316,0.9336975710445815,0.9900167977790074
0.2,RF,0.44632971993198584,0.06677703040850812,0.39856031006904646,0.4940991297949252,0.8269567966573952,0.03591107322324666,0.8012675624263275,0.8526460308884629,0.8446783903795655,0.026183429863361755,0.8259478930048111,0.8634088877543199,0.7645369020617557,0.03924292952654149,0.7364642014144241,0.7926096027090873,0.23169300915692465,0.06406238397854014,0.1858655403649315,0.2775204779489178,0.19129100488778156,0.07447213908568145,0.13801684589043145,0.24456516388513166,0.7666470202149511,0.05953397108089368,0.724058982862376,0.8092350575675262,0.7683069908430753,0.06406238397854014,0.7224795220510821,0.8141344596350685,1.0,0.0,1.0,1.0,0.24850120166249196,0.09193147185682851,0.18273738839366188,0.31426501493132203,0.1269047619047619,0.1539766402559818,0.016756508939484674,0.23705301487003916,0.9211470937831707,0.03779185998453571,0.8941124257537567,0.9481817618125847
0.2,Rule60s,0.09077307642547726,0.021947535775911072,0.07507275513914105,0.10647339771181347,,,,,,,,,0.20554652858954076,0.04836560562842915,0.17094785859179032,0.2401451985872912,0.8748291039735199,0.0340562753622173,0.8504667122015191,0.8991914957455206,0.06404218823551489,0.02176770996757978,0.04847050658304022,0.07961386988798955,0.6073015890788657,0.07499015203526357,0.5536568659406498,0.6609463122170816,0.12517089602648013,0.03405627536221728,0.1008085042544794,0.14953328779848085,1.0,0.0,1.0,1.0,0.060403698629505086,0.05486144002634527,0.021158188635163555,0.09964920862384662,0.05357142857142857,0.11325177137166932,-0.027444008192705892,0.13458686533556302,0.050200920952306084,0.03370208293422007,0.026091903179715676,0.0743099387248965
