prevalence_target,model,n_runs,alert_rate_mean,alert_rate_sd,alert_rate_ci_lo,alert_rate_ci_hi,alerts_per_hour_mean,alerts_per_hour_sd,alerts_per_hour_ci_lo,alerts_per_hour_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,auc_roc_mean,auc_roc_sd,auc_roc_ci_lo,auc_roc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,fnr_mean,fnr_sd,fnr_ci_lo,fnr_ci_hi,fpr_mean,fpr_sd,fpr_ci_lo,fpr_ci_hi,precision_mean,precision_sd,precision_ci_lo,precision_ci_hi,recall_mean,recall_sd,recall_ci_lo,recall_ci_hi,specificity_mean,specificity_sd,specificity_ci_lo,specificity_ci_hi
0.01,IF,5,0.005216234198270127,0.0012880739896558948,0.003616879098291715,0.006815589298248539,0.17508006780489202,0.04326159514286308,0.12136370261113211,0.22879643299865193,0.5673042754227986,0.04931565078273465,0.5060708072978877,0.6285377435477095,0.9364749103942653,0.009027426685453996,0.9252658796825132,0.9476839411060175,0.6223429004267789,0.05152616462285446,0.5583647168490601,0.6863210840044977,0.5253333333333334,0.06296383441662716,0.44715340694934436,0.6035132597173225,0.0004838709677419355,0.0008637779039279369,-0.0005886509580092933,0.0015563928934931642,0.9283333333333333,0.1151061513515743,0.78541016922829,1.0712564974383767,0.4746666666666666,0.06296383441662717,0.39648674028267755,0.5528465930506556,0.9995161290322582,0.0008637779039279634,0.9984436071065069,1.0005886509580095
0.01,RF,5,0.008915502328675981,0.0019260299169833843,0.006524020321294328,0.011306984336057634,0.29924716175894994,0.06471097575789206,0.21889787287173884,0.37959645064616104,1.0,1.2412670766236366e-16,0.9999999999999999,1.0000000000000002,1.0,0.0,1.0,1.0,0.8949722469378809,0.03116953442229081,0.8562701582049494,0.9336743356708124,0.152,0.09870269612438265,0.029444415696707874,0.27455558430329213,0.00045698924731182796,0.0010218590219757103,-0.0008118163115151205,0.0017257948061387765,0.9630434782608696,0.08263729482064441,0.860435724373125,1.065651232148614,0.8480000000000001,0.09870269612438266,0.7254444156967079,0.9705555843032923,0.9995430107526883,0.0010218590219757244,0.9982742051938613,1.0008118163115152
0.01,RuleCat80,5,0.19161676646706588,0.005719568143802387,0.18451498461763333,0.19871854831649843,6.431386156645408,0.19193744418588318,6.193064342292552,6.669707970998263,,,,,,,,,0.08354228709257498,0.006118803920956121,0.07594478855185574,0.09113978563329422,0.15733333333333333,0.04462186808181737,0.10192796620354305,0.2127387004631236,0.1850537634408602,0.006039718997842406,0.17755446180197196,0.19255306507974843,0.04395129797907037,0.0032720275875511764,0.039888539122478556,0.04801405683566218,0.8426666666666668,0.044621868081817374,0.7872612995368765,0.8980720337964571,0.8149462365591397,0.006039718997842422,0.8074469349202514,0.8224455381980279
0.02,IF,5,0.013094453958635227,0.0020228929878123663,0.010582700563449766,0.015606207353820688,0.44350921807578275,0.06850727601548397,0.3584461998323481,0.5285722363192173,0.638414262384749,0.0492593652564189,0.5772506819714843,0.6995778427980136,0.9358311636397083,0.009469393072375756,0.9240733591768993,0.9475889681025174,0.6781743304084744,0.03873925247951349,0.6300731952873366,0.7262754655296122,0.438157894736842,0.05802915018736829,0.3661051881028276,0.5102106013708565,0.0018819733835192902,0.0010879428724451302,0.000531113886701782,0.0032328328803367984,0.8656884465437097,0.06077506123530306,0.7902262410192047,0.9411506520682147,0.5618421052631579,0.058029150187368275,0.4897893986291435,0.6338948118971723,0.9981180266164807,0.001087942872445119,0.9967671671196633,0.9994688861132982
0.02,RF,5,0.021288367803978393,0.0007069639238571323,0.020410556151696124,0.022166179456260662,0.7210434223951776,0.024258998420475592,0.6909218974239911,0.7511649473663641,0.9987105575161722,0.002883281046915051,0.9951304912435145,1.0022906237888298,0.999333172964674,0.0014910705802234179,0.9974817643064299,1.0011845816229183,0.9683079961752897,0.014376219630324608,0.9504575618300455,0.986158430520534,0.0013157894736842105,0.002942194707236565,-0.002337427769997096,0.004969006717365517,0.0013173813684635033,0.0006748165289964315,0.00047948597901580786,0.0021552767579111985,0.9401283719460874,0.02906485549169322,0.904039587269057,0.9762171566231179,0.9986842105263157,0.00294219470723655,0.9950309932826344,1.002337427769997,0.9986826186315365,0.0006748165289964181,0.9978447232420888,0.9995205140209842
0.02,RuleCat80,5,0.19314978263733368,0.0033214453744403777,0.18902566349389063,0.19727390178077672,6.54195992997289,0.11195813922894285,6.402945539186427,6.680974320759353,,,,,,,,,0.1418686791701876,0.005976118045161404,0.13444834854449483,0.1492890097958804,0.2447368421052632,0.03645235572946071,0.1994752643462751,0.2899984198642513,0.18166420217771206,0.003060384866399401,0.17786423246845628,0.18546417188696784,0.07828881859943207,0.0032712874145455853,0.07422697878901374,0.0823506584098504,0.7552631578947369,0.03645235572946073,0.7100015801357488,0.800524735653725,0.8183357978222879,0.003060384866399387,0.8145358281130322,0.8221357675315437
0.05,IF,5,0.03309922104456647,0.00428919532271695,0.027773481631084854,0.03842496045804808,1.1575342684493721,0.15049879858944745,0.9706653284679359,1.3444032084308084,0.6364367093915394,0.024833446512910015,0.6056019129051402,0.6672715058779386,0.9200854209719884,0.009160469502321812,0.9087111957843119,0.9314596461596649,0.6352908916494424,0.01272296611666453,0.6194932426720137,0.6510885406268712,0.47192703168223815,0.03335966740462131,0.4305055336738683,0.5133485296906081,0.0070436178408764035,0.0028651974451739015,0.0034860053254585667,0.01060123035629424,0.8036394272405858,0.05877082626258387,0.7306658081256471,0.8766130463555245,0.5280729683177618,0.0333596674046213,0.486651470309392,0.5694944663261318,0.9929563821591236,0.0028651974451738764,0.9893987696437059,0.9965139946745414
0.05,RF,5,0.05169199335972417,0.000521844381093155,0.05104403797905588,0.05233994874039247,1.8076769420038374,0.019142589816500383,1.7839082773963069,1.831445606611368,0.9999342403628118,0.00014704301892854005,0.999751662340021,1.0001168183856026,0.99999653645569,7.744720520343295e-06,0.9999869201150438,1.0000061527963362,0.9829469433770688,0.005419990282801424,0.9762171365723,0.9896767501818375,0.000510204081632653,0.001140851008928464,-0.0009063495434682619,0.0019267577067335678,0.0018012414953449349,0.0005427784293026738,0.0011272930606782178,0.002475189930011652,0.9669744372596467,0.009644916707022621,0.9549986914188627,0.9789501831004307,0.9994897959183675,0.001140851008928453,0.9980732422932667,1.0009063495434685,0.998198758504655,0.0005427784293026737,0.9975248100699883,0.9988727069393217
0.05,RuleCat80,5,0.19547950453326518,0.003228502738972899,0.1914707889141803,0.19948822015235007,6.835876411638219,0.10951202575252546,6.699899271890945,6.971853551385494,,,,,,,,,0.31359344871125083,0.011909078561506326,0.29880637460964815,0.3283805228128535,0.2303421368547419,0.028608487531860863,0.194820007843369,0.2658642658661148,0.16525519385626752,0.0035529206579183524,0.16084366018685586,0.16966672752567918,0.19692109541303526,0.007650934282712198,0.1874212057615686,0.20642098506450193,0.7696578631452582,0.028608487531860873,0.7341357341338853,0.805179992156631,0.8347448061437325,0.003552920657918349,0.8303332724743209,0.8391563398131441
0.1,IF,5,0.07878054681829179,0.011522241410655894,0.06447379448006782,0.09308729915651576,2.9080813150938187,0.42628675591234744,2.3787763973663814,3.437386232821256,0.628689064319499,0.014096972182200221,0.611185361477181,0.646192767161817,0.896086203512757,0.007088144756201285,0.8872851093549251,0.904887297670589,0.5665320729576473,0.02023470094540109,0.5414073732793231,0.5916567726359715,0.49407145638572275,0.02776675210262161,0.45959447995284886,0.5285484328185966,0.03131961458572736,0.010421623778108126,0.018379459537626205,0.04425976963382851,0.6497169006182376,0.06705094456855806,0.5664621567019028,0.7329716445345724,0.5059285436142773,0.027766752102621618,0.47145156718140335,0.5404055200471513,0.9686803854142726,0.010421623778108128,0.9557402303661714,0.9816205404623738
0.1,RF,5,0.10036293249455601,0.00018347146005447883,0.10013512258790848,0.10059074240120354,3.7046158439111863,0.0061986828670888856,3.6969191625588396,3.712312525263533,0.9999639233483114,8.06698455763646e-05,0.9998637585053186,1.0000640881913043,0.9999964564674588,7.92357964234583e-06,0.99998661804388,1.0000062948910375,0.9979478065472044,0.0009146765624273231,0.9968120855896376,0.9990835275047711,0.00024183796856106407,0.0005407661372429963,-0.0004296118755012801,0.0009132878126234083,0.000430147276703569,0.00017526747276473036,0.00021252396571544457,0.0006477705876916935,0.9961448640742672,0.0015681607130445582,0.9941977353734822,0.9980919927750521,0.9997581620314389,0.0005407661372429735,0.9990867121873765,1.0004296118755012,0.9995698527232963,0.00017526747276472315,0.9993522294123083,0.9997874760342844
0.1,RuleCat80,5,0.19646745705298815,0.0025876179090500253,0.19325450505421343,0.19968040905176287,7.252025668037518,0.0935704125644187,7.135842655459206,7.3682086806158305,,,,,,,,,0.46323170666633146,0.007139231391105772,0.45436718007314925,0.47209623325951366,0.3133332942957274,0.012204596582762062,0.2981792861063111,0.32848730248514374,0.14200058323829512,0.002485896468726986,0.13891393508981495,0.1450872313867753,0.3495231098503263,0.005637530807950683,0.34252319080732935,0.35652302889332327,0.6866667057042726,0.012204596582762075,0.6715126975148562,0.7018207138936889,0.8579994167617049,0.0024858964687269627,0.8549127686132247,0.861086064910185
