timeout_h,prevalence,model,n_runs,alert_rate_mean,alert_rate_sd,alert_rate_ci_lo,alert_rate_ci_hi,alerts_per_hour_mean,alerts_per_hour_sd,alerts_per_hour_ci_lo,alerts_per_hour_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,auc_roc_mean,auc_roc_sd,auc_roc_ci_lo,auc_roc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,fnr_mean,fnr_sd,fnr_ci_lo,fnr_ci_hi,fpr_mean,fpr_sd,fpr_ci_lo,fpr_ci_hi,precision_mean,precision_sd,precision_ci_lo,precision_ci_hi,recall_mean,recall_sd,recall_ci_lo,recall_ci_hi,specificity_mean,specificity_sd,specificity_ci_lo,specificity_ci_hi
1.0,0.6618472935834627,IF,5,0.9875207434450713,0.0043915632013337156,0.9820678975221389,0.9929735893680038,66.43824758369715,0.3012905360275772,66.06414597211219,66.81234919528211,0.7954010976020655,0.002464257908641542,0.7923413172746163,0.7984608779295146,0.6838404675482732,0.0035648421962208355,0.6794141313339481,0.6882668037625983,0.7958285534457505,0.001685721817523953,0.7937354533539445,0.7979216535375566,0.008384314512085048,0.0042227090135603705,0.0031411287550566058,0.013627500269113491,0.9795053003533569,0.006371139311272086,0.9715944860430097,0.9874161146637042,0.6646111068761767,0.0011992216167986969,0.6631220765687301,0.6661001371836234,0.991615685487915,0.004222709013560378,0.9863724997308866,0.9968588712449434,0.020494699646643112,0.006371139311272083,0.012583885336295841,0.028405513956990383
1.0,0.6618472935834627,RF,5,0.660564221705941,0.00040267509825693613,0.6600642345334622,0.6610642088784198,44.44131771639585,0.03959779402382679,44.39215056114818,44.490484871643524,1.0,0.0,1.0,1.0,1.0,7.850462293418876e-17,0.9999999999999999,1.0,0.9990161085386975,0.0003048086599090262,0.9986376385993477,0.9993945784780472,0.0019657005315414705,0.0006083943792238733,0.001210279134149659,0.002721121928933282,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9980342994684583,0.0006083943792238811,0.9972788780710665,0.9987897208658502,1.0,0.0,1.0,1.0
1.0,0.6618472935834627,RuleCat80,5,0.20258878194490543,0.003259676466902541,0.19854135903016049,0.20663620485965037,13.629787280097489,0.22380532838725378,13.351896261232865,13.907678298962113,,,,,,,,,0.46869185070315666,0.005753483759898028,0.46154795705424123,0.4758357443520721,0.6939123458028281,0.004924985054045389,0.6877971691695284,0.7000275224361279,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3060876541971718,0.00492498505404543,0.29997247756387196,0.3122028308304717,1.0,0.0,1.0,1.0
2.0,0.5061802153449901,IF,5,0.6201393959508794,0.01054534792722461,0.6070456170811119,0.6332331748206469,41.71789930109542,0.7046874203244105,40.842914301291515,42.59288430089933,0.7581988026661078,0.003092762925029267,0.7543586302871196,0.7620389750450961,0.7865083604892483,0.004382148293507807,0.7810672047184096,0.791949516260087,0.7487918642086395,0.005809075776920253,0.7415789439536001,0.7560047844636789,0.1669027012850774,0.013584939046176988,0.15003477155364683,0.18377063101650795,0.40182820271541875,0.008852993917644915,0.39083575889156214,0.41282064653927536,0.6800518512725426,0.0032249129340848164,0.6760475929849479,0.6840561095601374,0.8330972987149226,0.013584939046177014,0.816229368983492,0.8499652284463531,0.5981717972845813,0.008852993917644918,0.5871793534607247,0.6091642411084378
2.0,0.5061802153449901,RF,5,0.5057550614005974,0.00026717041881844033,0.5054233255101656,0.5060867972910293,34.0231101337075,0.021495570540595924,33.99641985764639,34.04980040976861,0.9999999965614176,7.68890423327994e-09,0.999999987014382,1.000000006108453,0.9999999964745168,7.883219877310481e-09,0.9999999866862065,1.0000000062628271,0.9995539021787053,0.00026413714830673105,0.9992259325910646,0.999881871766346,0.0008916863362182009,0.0005277894518095491,0.00023634917527458332,0.0015470234971618185,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9991083136637819,0.0005277894518095739,0.9984529765028383,0.9997636508247256,1.0,0.0,1.0,1.0
2.0,0.5061802153449901,RuleCat80,5,0.2,0.004011127957593355,0.19501952682286774,0.20498047317713228,13.454295435943413,0.264260958302662,13.12617211788817,13.782418753998655,,,,,,,,,0.5663697058357366,0.008123477201991516,0.5562830766537947,0.5764563350176786,0.6049042748492001,0.00792389754538999,0.5950654565416341,0.614743093156766,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.39509572515079994,0.007923897545389963,0.38525690684323405,0.4049345434583658,1.0,0.0,1.0,1.0
6.0,0.3285272367600005,IF,5,0.4220643876535015,0.004349877778810855,0.41666330101896554,0.4274654742880375,28.392571185766723,0.2783474673624196,28.04695715655161,28.738185214981836,0.7159300383524096,0.011108752896197902,0.7021366998162589,0.7297233768885604,0.8871101187030608,0.004469043537697761,0.8815610682358963,0.8926591691702253,0.8023545862487952,0.007910693767189647,0.7925321625972609,0.8121770099003295,0.08337037785411194,0.013033014264646323,0.0671877532536245,0.09955300245459939,0.18011071569790432,0.003654230998274911,0.17557338862622615,0.1846480427695825,0.7134405668274482,0.005661178816863571,0.7064112849031549,0.7204698487517415,0.9166296221458881,0.013033014264646328,0.9004469975454006,0.9328122467463755,0.8198892843020957,0.0036542309982749237,0.8153519572304175,0.8244266113737739
6.0,0.3285272367600005,RF,5,0.3277663458347162,0.0002171314601233954,0.32749674151780356,0.32803595015162884,22.049166831211743,0.021111263141105247,22.022953735812827,22.07537992661066,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9988670887668091,0.00033122810020744025,0.9984558147595881,0.99927836277403,0.002263083451202263,0.0006609588698240504,0.0014423946182482914,0.0030837722841562344,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9977369165487977,0.0006609588698240293,0.9969162277158438,0.9985576053817516,1.0,0.0,1.0,1.0
6.0,0.3285272367600005,RuleCat80,5,0.20095585794888815,0.0031575769931336552,0.1970352082749576,0.2048765076228187,13.518498976518785,0.21261466586794767,13.254503000420431,13.782494952617139,,,,,,,,,0.45247105561857415,0.0035848705274460126,0.4480198509464227,0.4569222602907256,0.6353606789250353,0.004814822044738643,0.6293822877343256,0.6413390701157451,0.12087781731909845,0.002638105528228184,0.1176021766612352,0.12415345797696171,0.5961143273204026,0.00343601003444995,0.5918479573631592,0.600380697277646,0.36463932107496466,0.004814822044738615,0.3586609298842549,0.3706177122656744,0.8791221826809015,0.0026381055282281725,0.8758465420230382,0.8823978233387647
12.0,0.26181277465779795,IF,5,0.40930633919681386,0.0036288751420559015,0.4048004955789465,0.41381218281468124,27.541220767552243,0.2675432515223847,27.209021944174523,27.873419590929963,0.6609630514051135,0.01316218331205376,0.6446200422487779,0.677306060561449,0.8909485768112628,0.004388905273603824,0.8854990311415023,0.8963981224810234,0.7520491665696927,0.00737277993174924,0.7428946511617605,0.7612036819776249,0.03610547667342799,0.008090976981321558,0.026059201845425643,0.04615175150143034,0.2126247639600755,0.0056081522488105615,0.20566132321628197,0.21958820470386906,0.6165595622165683,0.007355582150355423,0.6074264006746417,0.6256927237584948,0.9638945233265719,0.008090976981321569,0.9538482484985695,0.9739407981545742,0.7873752360399244,0.005608152248810523,0.7804117952961309,0.794338676783718
12.0,0.26181277465779795,RF,5,0.2619183538001991,0.0001276826024671239,0.2617598149095187,0.2620768926908795,17.62374413888821,0.023283756925884296,17.594833536170412,17.652654741606007,0.9999999871457697,2.874293310214735e-08,0.9999999514567044,1.000000022834835,0.9999999954401637,1.0196103890098229e-08,0.9999999827800286,1.0000000081002989,0.999771904864399,0.0002436909620480775,0.9994693225701363,1.0000744871586618,0.0,0.0,0.0,0.0,0.00016185594820609657,0.00017296451813390292,-5.290786692743277e-05,0.0003766197633396259,0.9995440086902754,0.000487051707700141,0.9989392541195604,1.0001487632609902,1.0,0.0,1.0,1.0,0.9998381440517938,0.00017296451813388484,0.9996233802366603,1.0000529078669274
12.0,0.26181277465779795,RuleCat80,5,0.19856621307666775,0.0033439483478937657,0.1944141528012351,0.20271827335210038,13.36089761391952,0.22101920525920396,13.086466023837557,13.635329204001481,,,,,,,,,0.36053642263494745,0.00877365591491752,0.34964248995276687,0.37143035531712804,0.6830121703853955,0.00762843352987494,0.6735402191086594,0.6924841216621317,0.15656865389803074,0.004988087017106825,0.15037512582898158,0.1627621819670799,0.4180111762668033,0.01166050934156619,0.40353274161666186,0.4324896109169447,0.31698782961460453,0.007628433529874968,0.3075158783378683,0.32645978089134076,0.8434313461019693,0.004988087017106841,0.8372378180329202,0.8496248741710185
24.0,0.1777326376442161,IF,5,0.3844274809160305,0.02193475747342424,0.3571918822519487,0.41166307958011233,25.850250515283626,1.465426285886236,24.03068345407723,27.669817576490022,0.5306284945571853,0.012979193243689974,0.5145126975807659,0.5467442915336047,0.8660166953320753,0.003634964684663531,0.8615032905483865,0.870530100115764,0.5894027294686163,0.007206881301497751,0.5804542044172186,0.5983512545200139,0.06796116504854369,0.03857195372252943,0.020067758770897233,0.11585457132619015,0.26603697424719464,0.018884785900563642,0.24258841548067872,0.28948553301371055,0.431316233002915,0.008835210511876603,0.42034587019376635,0.44228659581206364,0.9320388349514562,0.038571953722529466,0.8841454286738097,0.9799322412291027,0.7339630257528054,0.01888478590056367,0.7105144669862894,0.7574115845193213
24.0,0.1777326376442161,RF,5,0.17615665449717888,0.000565976070289871,0.1754539023868551,0.17685940660750266,11.845585047729653,0.04015658569835109,11.795724060977227,11.89544603448208,0.9999999721229568,6.233496377188193e-08,0.9999998947238764,1.0000000495220371,0.9999999969854445,6.740751093683249e-09,0.9999999886156965,1.0000000053551925,0.995459141455336,0.0016052430430609735,0.9934659689604001,0.9974523139502719,0.009036594473487678,0.003183879573904736,0.005083285831953827,0.01298990311502153,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9909634055265123,0.0031838795739047502,0.9870100968849784,0.9949167141680462,1.0,0.0,1.0,1.0
24.0,0.1777326376442161,RuleCat80,5,0.20205774975107865,0.004037405588412848,0.19704464858579973,0.20707085091635757,13.58739585484319,0.27823315232801077,13.241923766490755,13.932867943195626,,,,,,,,,0.38408020643531604,0.007908095848909379,0.37426100852538063,0.39389940434525145,0.5896938013442868,0.008338906636263146,0.5793396811896564,0.6000479214989173,0.1570356018406394,0.004808474379637109,0.1510650923171588,0.16300611136411997,0.36105909191459373,0.008969176816131345,0.3499223879684796,0.3721957958607079,0.4103061986557132,0.008338906636263186,0.3999520785010828,0.42066031881034366,0.8429643981593606,0.0048084743796371196,0.8369938886358801,0.8489349076828412
48.0,0.09369233016024747,IF,5,0.2604181878526386,0.06206711019868478,0.18335169164638604,0.33748468405889115,17.51816214259494,4.169286205634729,12.34130956285072,22.69501472233916,0.4460361067544133,0.012930825165654471,0.4299803666791529,0.4620918468296737,0.8768547791901623,0.0026028763406524525,0.8736228813461978,0.8800866770341268,0.4096458865615822,0.009502026463445567,0.3978475623919424,0.42144421073122196,0.22804532577903683,0.12090896643217179,0.0779170151001817,0.3781736364578919,0.20751483190507583,0.05603660549150682,0.13793619628472448,0.2770934675254272,0.2820175001898788,0.022204027144537616,0.25444755906936734,0.3095874413103903,0.7719546742209631,0.12090896643217176,0.621826363542108,0.9220829848998182,0.7924851680949242,0.05603660549150679,0.7229065324745729,0.8620638037152755
48.0,0.09369233016024747,RF,5,0.09431131762363092,0.00041293942290065256,0.09379858560877613,0.0948240496384857,6.344662027300909,0.028894662540537838,6.308784565084076,6.380539489517742,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9968973717876664,0.002185125175768847,0.9941841805253455,0.9996105630499872,0.0,0.0,0.0,0.0,0.0006445469860104008,0.00045564582187052787,7.878797306180103e-05,0.0012103059989590007,0.9938214916135435,0.004335239361863323,0.9884385809743219,0.9992044022527651,1.0,0.0,1.0,1.0,0.9993554530139896,0.00045564582187054153,0.998789694001041,0.9999212120269383
48.0,0.09369233016024747,RuleCat80,5,0.2004381015599071,0.003956824626032833,0.19552505487455607,0.20535114824525813,13.484129571441633,0.2626535492680833,13.158002115315016,13.81025702756825,,,,,,,,,0.4621564000320295,0.005382183089792146,0.4554735370576935,0.4688392630063655,0.27478753541076484,0.0103360619825258,0.2619536193638599,0.28762145145766976,0.14616567787299495,0.0037510642003861804,0.14150811650042444,0.15082323924556545,0.3391744619783112,0.0051761843739372366,0.33274738019312844,0.34560154376349395,0.7252124645892352,0.010336061982525789,0.7123785485423303,0.73804638063614,0.853834322127005,0.0037510642003861718,0.8491767607544346,0.8584918834995755
